Ammonia,Benzene,Alcohol,CO,Methane,CNG,LPG,Butane,Hydrogen,Smoke,Propane,AQI
24.49,3.24,6.54,19.58,3.1,0.7,0.1,6.47,9.16,199.12,1.58,209.52
24.77,1.76,4.12,13.4,7.62,5.79,3.3,9.29,3.02,126.15,6.21,161.64
17.6,1.45,2.99,7.76,6.46,9.4,7.34,9.37,6.25,13.01,0.14,86.04
12.73,1.24,2.46,9.68,2.86,8.93,9.57,6.67,9.69,161.25,4.19,192.26
19.18,0.11,2.36,7.71,6.29,0.12,9.74,6.2,1.64,11.51,3.73,58.59
7.56,3.48,9.02,11.03,2.63,2.87,8.52,6.02,3.02,25.31,1.8,74.4
23.26,0.55,6.51,19.58,9.79,3.69,7.87,8,2.8,178.02,0.97,203.5
36.13,1.45,9.76,16.95,3.7,4.29,0.65,5.28,1.5,148.96,6.19,171.49
16.98,2.34,0.99,12.13,0.75,3.98,1.76,7.23,0.52,25.59,6.39,75.83
15.93,2.76,9.63,12.39,8.05,5.54,6.1,8.09,4.12,132.31,6.17,168.41
34.54,0.94,3.68,17.23,1.03,4.76,3.45,5.23,2.5,66.76,8.48,121.32
40,3.43,8.05,3.44,2.54,5.6,8.85,6.15,4.99,94.2,1.45,141.89
35.78,2.62,1.84,12.29,0.51,4.61,8.74,2.92,7.69,195.44,9.47,210.38
35.77,1.66,7.25,16.42,7.79,6.86,9.2,0.9,5.19,78.37,2.83,158.42
37.08,4.97,7.29,18.59,7.31,4.08,7.63,7.1,9.66,158.61,2.41,207.63
6.36,0.61,9.4,9.92,4.48,0.86,8.05,6.1,9.69,109.45,6.18,131.3
42.26,3.07,3.7,5.87,6.66,4.7,6.77,6.75,4.05,31.97,2.9,104.96
22.64,0.67,1.99,4.05,8.59,4.39,7.11,7.31,1.54,139.81,7.48,151.16
38.04,1.33,4.04,14.09,9.23,6.98,7.34,7.17,0.22,152.2,4.59,179.33
19.62,4.95,9.33,15.19,5.14,1.25,9.1,8.68,6.9,71.59,7.43,146.56
9.05,0.35,9.82,6.78,5.91,8.6,4.11,8.84,2.17,84.66,5.77,136.74
35.45,2.64,7.75,6.57,8.77,8.03,8.43,4.99,9.14,147.38,3.03,207.95
14.78,0.81,4.31,2.15,9.52,3.94,6.01,4.62,8.79,77.53,2.17,105.78
8.2,3.67,9.82,15.99,1.55,4.87,8.8,1.04,7.19,149.25,6.59,170.55
0.75,0.64,7.04,10.94,3.8,6.41,8.75,1.61,6.02,131.22,6.29,137.1
11.95,3.32,9.35,3.39,3.23,3.12,9.08,5.85,8.41,93.38,5.68,138.16
5.32,3.28,1.62,4.4,6.83,5.09,2.7,3.54,2.23,132.1,1.11,133
4.64,3.84,6.97,3.7,3.74,7.73,3.14,4.25,7.38,147.8,3.17,129.9
8.42,4.07,0.13,1.67,1.25,9.32,2.32,8.06,4.54,75.88,0.24,96.7
42.42,3.61,9.91,16.99,7.08,6.56,6.11,3.59,7.53,41.16,1.1,145.67
13.83,4.02,9.36,1.75,0.51,4.54,4.06,2.01,1.68,88.34,4.53,101.92
4.07,2.27,8.61,17.08,8.19,1.53,8.56,2.37,5.21,11.93,4.39,88.49
43.46,0.44,0.29,16.11,8.96,3.79,0.97,2.98,1.32,1.37,3.21,77.32
24.4,4.48,4.59,15.2,1.42,8.11,2.32,7.54,1.97,196.51,6.24,207.48
42.06,2.63,6.66,5.12,8.68,9.42,9.05,6.32,3.52,33.9,2.12,116.24
45.59,1.54,7.93,12.77,6.93,7.48,4.17,8.08,0.25,78.6,7.7,141.29
37.34,2.88,6.65,2.09,9.67,4.44,2.4,9.46,0.64,87.89,3.57,124.53
33.68,1.47,5.48,8.05,8.99,5.38,5.65,8.37,7.1,85.26,8.57,157.87
26.72,1.67,4.99,17.22,0.06,0.93,2.7,0.51,7.69,100.03,3.86,127.32
6.79,2.8,2.14,15.88,6.54,5.6,10,2.44,2.93,145.44,0.77,151.25
1.99,2.53,4.06,3.41,3.76,2.59,8.06,8.94,1.62,22.22,1.56,67.4
9.89,4.49,2.67,19.69,5.95,0.08,6.89,2.14,4.55,26.79,5.85,92.52
41.19,0.88,6.29,0.05,1.48,0.28,6.16,6.33,7.14,27.46,8.99,89.81
2.79,2,3.63,10.56,5.29,1.89,5.01,8.65,1.01,192.94,5.72,171.25
20.41,3.71,5.28,11.5,1.79,4.92,5.49,2.13,5.88,81.1,6.54,133.78
2.73,2.05,9.16,8.11,5.47,6.42,3.99,2.79,2.81,132.82,0.42,139.64
18.38,0.54,8.29,16.95,1.98,6.26,5.07,8.09,0.96,190.45,8.16,206.49
16.06,0.65,3.94,16.61,2.75,3.06,9.21,0.12,6.61,79.8,8.93,119.51
18.58,1.19,8.86,1.03,8.87,1.02,7.23,0.97,6.67,151.92,8.23,153.77
3.93,2.18,8.55,5.87,5.39,5.71,4.41,7.08,4.24,155.23,6.3,150.05
31.05,3.57,0.67,11.68,7.28,4.25,1.93,4.19,7.15,14.57,3.01,88.15
43.25,3.32,8.9,8.23,1.87,1.33,4.13,6.54,4.3,79.1,5.96,132.92
0.71,2.47,3.09,4.68,7.79,1.98,5.63,8.38,9.72,46.19,3.6,91.41
36.38,1.71,6.44,8.04,0.72,1.86,6.75,4.01,1.48,42.74,9.28,102.77
9.96,3.06,4.95,0.15,8.82,4.65,3.31,6.28,1.91,31.3,0.91,86.22
9.26,4.87,0.54,18.23,7.02,8.18,7.69,7.26,2.52,134.55,7.26,163.83
16.59,0.05,9.61,13.87,2.77,4.04,3.83,7.82,5.04,33.76,6.2,117.56
6.58,1.71,3.96,8.19,9.04,4.78,8.28,2.18,5.45,158.05,1.57,176.15
10.16,1.35,4.47,8.69,0.11,2.23,7.63,2.67,8.76,167.12,4.33,155.8
42.84,3,6.43,8.62,9.27,6.44,1.74,4.9,9.16,42.59,0.35,119.59
21.52,0.14,2.78,4.89,7.61,3.99,8.15,6.41,5.02,191.99,1.1,180.79
22.33,2.14,9.59,6.66,4.99,4.27,7.41,4.79,6.35,166.16,1.36,174.6
26.93,1.02,8.67,16.71,4.12,3.84,0.1,3.93,6.58,23.7,9.12,88.79
10.13,4.76,9.81,14.59,6.86,6.92,9.84,1.12,1.52,86.07,3.94,132.67
42.82,4.99,8.17,13.3,4.7,4.73,2.77,5.21,0.76,0.24,2.95,95.64
30.73,0.58,5.69,7.62,3.28,7.53,7.63,6.29,5.16,99.79,9.85,154.57
29.99,4.39,2.06,7.29,7.39,3.41,5.64,8.02,5.27,19.14,7.39,97.64
9.02,1.37,6.07,7.76,5.42,1.66,1.25,0.7,9.43,23.65,6.36,56.71
25.41,2.01,7.73,9.91,0.19,8.74,7.86,8.41,5.03,43.31,0.71,93.06
38.15,3.28,7.51,2.92,0.42,0.41,1.72,1.27,8.64,26.62,6.09,94.76
29.25,1.08,1.84,9.01,5.22,5.55,2.79,2.62,1.71,81.5,4.1,130.39
48.99,0.91,8.23,10.36,7.2,8.71,9.98,8.14,9.77,106.54,4.26,184.8
17.37,0.61,0.58,8.22,3.03,1.08,6.7,6.73,3.24,113.11,9.96,135.61
21.92,4.19,9.74,2.21,4.33,9.92,8.98,6.32,2.97,27.52,4.1,105.83
26.2,3.59,3.01,0.15,1.77,6.92,3.9,6.61,3.58,57.73,2.69,80.98
42.85,4.5,7.77,3.87,1.37,6.48,1.94,4.88,2.06,38.61,7.88,111.35
34.31,2.79,5.73,8.84,6.79,2.25,4.74,2.61,6.97,62.67,9.57,121.05
18.66,2.91,8.33,11.45,3.24,5.44,0.25,4.69,5.3,192.63,6.45,203.55
45.61,2.03,4.64,9.66,8.39,3.07,0.88,2.17,9.87,57.18,7.03,130.95
17.41,3,1.29,12,3.26,3.31,9.24,7.79,4.94,19.83,1.16,87.84
6.22,3.26,3.54,15.75,7.71,9.72,7.31,6.84,6.94,100.37,8.68,153.67
40.68,3.66,0.46,17.94,3.78,6.67,0.76,1.87,1,187.59,7.01,202.9
43.84,0.38,9.69,18.07,8.21,8.59,2.15,9.39,3.34,99.22,5.26,166.93
23.25,3.26,5.97,12.45,8.52,3.17,2.08,5.12,9,4.65,2.51,90.29
21.61,4.79,3.44,19.52,5.47,7.63,7.31,3.19,0.31,30.5,2.08,104.43
1.81,2.69,5.18,0.61,5.32,4.27,4.24,8.55,3.7,93.21,3.57,95.8
39.82,4.69,3.22,2.56,8.42,8.01,2.13,7.19,3.72,81.08,5.51,135.42
10.81,4.84,7.46,0.87,9.49,2.73,1.08,7.11,3.28,152.41,4.33,175.88
37.54,0.33,9.12,5.97,1.39,7.59,3.69,9.47,0.96,107.42,4.39,148.99
1.39,3.7,7.06,11.32,2.81,3.44,9.75,4.57,9.14,181.05,5.86,176.47
11.1,2.41,5.32,0.39,8.3,5.84,7.99,2.75,9.9,158.07,9.96,178.29
21.18,0.51,4.26,7.01,8.24,7.13,1.11,7.92,3.75,60.81,2.8,107.06
1.43,4.64,3.14,14.62,6.2,6.22,9.91,4.75,9.17,122.57,7.62,162.35
19.14,0.39,3.53,1.4,4.92,5.53,6.2,6.64,1.88,172.11,0.34,161.96
25.16,4.87,4.86,1.06,7.98,2.79,4.73,5.4,7.59,41.43,1.53,101.89
47.23,4.32,1.68,10.91,8.85,7.65,7.33,0.76,6.26,20.74,7.51,135.15
1.28,1.6,2.19,7.17,0.26,8.05,3.49,1.06,8.4,19.18,7.51,71.87
15.73,1.31,1.28,5.1,2.59,8.27,2.16,2.69,5.88,9.17,6.53,61.6
44.87,2.79,1.45,11.27,7.48,6.42,1.99,3.45,5.76,116.87,9.83,176.76
46.71,2.73,9.63,9.82,4.95,3.78,5.78,7.91,0.27,110.69,9.65,161.64
31.35,4.46,3.46,0.46,0.12,6.3,6.11,7.61,7.39,110.6,9.54,160.1
9.59,4.65,9.3,17.92,2.32,2.53,6.95,8.32,4.64,79.71,5.43,148.67
6.76,3.76,2.63,2.45,0.19,1.87,4.5,1.89,3.91,94.33,3.44,110.65
36.48,0.47,3.31,18.23,4.14,2.29,1.61,9.49,2.13,6.79,9.25,100.12
35.46,4.82,9.67,9.22,8.7,2.43,4.3,4.3,3.84,74.34,8.01,135.49
46.42,3.23,0.76,6.5,1.82,2.4,2.53,1.38,4.07,116.42,1.62,138.27
33.07,0.56,1.98,13.13,4.42,7.44,5.93,0.27,1.82,119.48,2.65,155.69
27.91,1.84,1.17,5.1,0.08,7.07,6.25,9.93,8.24,48.36,3.51,117.63
12.48,2.99,3.07,19.88,0.07,1.34,8.66,0.17,5.81,163.94,1.17,153.85
35.16,3.54,2.29,1.21,6.18,7.8,7.27,8.83,4.31,14.5,6.07,110.69
8.14,0.48,3,9.56,1.83,0.54,3.32,3.75,4.05,29.89,3.17,46.67
36.37,0.32,8.42,14.91,9.38,3.1,0.17,4.05,9.06,33.3,9.63,123.32
10.96,0.57,1.48,7.07,4.09,2.26,3.73,0.63,4,64.4,8.32,64.14
2.38,3.66,2.77,3.84,2.58,3.27,3.38,9.28,1.99,194.81,6.05,168.26
7.63,4.27,0.61,18.82,4.77,0.17,1.28,6.61,0.48,143.7,9.35,156.31
49.8,0.8,2.04,3.91,6.6,9.44,6.62,8.39,9.84,6.85,4.95,104.66
20.65,0.46,7.59,13.98,2.58,5.74,5.34,0.99,9.95,17.81,5.2,86.32
43.91,1.02,1.91,15.47,7.14,1.75,1.71,3.83,5.05,170.72,1.02,189.51
22.08,2.13,9.78,5.75,8.32,8.26,7.56,8.64,9.76,186.47,6.48,228.83
28.88,0.18,6.76,6.03,4.3,1.98,1.16,8.56,7.84,115.57,9.15,135.41
33.67,2.44,4.38,6.18,3.89,6.82,9.61,3.52,4.48,115.13,7.26,153.94
2.08,3.4,6.48,7.54,5.93,6.5,0,9.66,5.77,53.02,7.25,83.09
23.63,3.29,0.61,19.76,3.96,7.77,3.74,1.05,6.11,123.87,5.79,155.31
49.33,2.32,0.18,7.09,4.83,7.85,2.66,6.55,7.05,140.76,6.91,163.63
18.84,2.39,6.69,16.22,5.36,8.75,2.92,5.09,9.27,125.04,7.24,154.72
12.6,3,2.24,6.11,1.11,1.01,8.2,2.58,2.28,184.01,5.86,175.54
18.84,0.91,6.09,12.77,6.13,2.56,1.1,1.33,4.54,166.83,8.76,173.83
2.01,1.11,4.25,9.44,2.61,7.26,8.72,10,0.81,160,9,159.84
39.57,2.25,0.07,0.65,2.96,0.04,4.59,0.97,1.12,131.43,8.58,134.47
31.77,4.74,8.66,9.72,2.23,9.28,4.42,9.83,5.77,54.23,9.22,137.98
46.02,1.41,5.3,10.01,3.58,8.83,0.44,6.05,6.95,195.79,4.38,216.72
22.44,2.38,1.33,3.89,8.62,3.36,9.79,9.77,1.1,126.78,2.31,148.26
39.54,1.39,1.45,0.4,4.44,2.7,4.37,2.21,4.09,38.12,4.87,93.74
39.8,0.73,3.41,8.94,3.57,2.58,7.24,2.17,6,18.67,3.36,103.48
10.93,3.32,1.98,15.49,6.61,1.63,6.39,5.74,5.17,165.37,5.65,186.08
32.57,2.31,4.09,6.42,2.04,6.53,4.06,8.86,5.15,54.06,3.69,101.19
26.08,0.61,0.58,16.43,7.08,7.75,1.24,6.98,2.99,20.57,6.1,95.05
0.96,4.21,0.63,19.58,6.11,9.14,3.47,3.43,4.72,75.81,2.63,114.26
38.57,4.92,2.92,15.13,7.32,6.8,6,2.21,0.22,44.48,0.64,123.23
43.11,4.65,4.4,8.4,5.37,0.48,7.4,9.95,7.71,165.84,1.52,211.31
19.72,0.33,5.57,11.69,8.94,0.32,4.13,8.67,5.05,149.4,4.48,173.91
37.98,3.21,9.63,1.4,5.92,2.38,7.97,2.74,1.93,91.9,1.96,127.07
35.69,3.57,6.24,8.13,9.35,3.14,9.89,8.2,7.59,173.64,6.69,229.7
2.21,0.63,8.12,14.85,6.12,6.63,3,8.58,1.46,142.21,0.43,162.68
26.21,2.21,6.57,18.37,2.12,8.19,6.29,1.33,9.54,174.48,8.88,190.87
16.94,4.28,2.65,5.65,3.87,2.29,2.58,8.31,7.04,110.58,5.51,142.36
43.03,4.92,9.07,15.24,2.41,3.18,5.92,6.29,8.34,107.58,1.54,196.79
8.72,3.41,4.85,10.75,4.84,9.21,8.25,6.28,9.06,35.08,8.82,107.56
22.09,4.29,3.74,0.57,6.42,2.65,4.8,5.44,9.17,197.74,7.53,196.84
41.55,1.68,9.61,8.9,8.83,6.57,2.95,7.09,1.67,13.79,4.69,112.49
47.22,4.96,6.57,17.5,8.17,5.55,3.09,2.49,0.3,75.53,3.13,156.65
13.38,4.94,3.16,12.42,4.88,5.53,7.19,4.67,9.5,75.25,2.35,141.52
16.63,3.99,5.44,19.71,3.19,1.44,1.53,1.13,6.58,61.55,2.13,113.03
10.24,0.66,7.52,15.11,6.45,4.7,2.4,6.83,3.81,108.37,4.03,137.52
30.59,3.19,6.9,18.12,9.19,5.79,3.99,1.76,5.25,151.9,4.14,175.54
23.76,0.54,2.22,0.49,4.6,2.44,1.93,6.99,6.36,85.99,6.77,99.79
40.02,2.97,1.93,18.44,6.72,8.26,6.15,7.36,8.21,63.53,8.91,167.12
46.47,3.62,8.68,8.37,5.61,3.9,8.39,3.66,1.87,177.84,8.13,212.12
1.27,2.19,9.69,10.41,1.42,5.24,3.48,1.82,1.5,45.58,8.86,82.96
45.8,1,5.47,7.91,0.5,7.34,5.11,5.51,2.11,50.49,8.81,89.83
39.01,4.31,0.32,0.61,8.93,2.79,4.63,7.63,0.99,125.5,2.43,137.54
48.48,2.39,1.34,18.76,4.36,3.58,7.22,5.51,9.47,81.82,3.18,164.84
4.69,3.02,1.44,3.75,2.89,6.74,2.53,2.25,5.03,194.79,8.02,184.22
7.64,4.45,5.56,10.74,5.19,3.57,3.04,6.91,3.52,159.34,3.33,176.52
11.89,4.07,2.84,12.93,9.66,1.89,6.54,6.16,8.39,92.67,6.56,133.03
1.59,4.8,9.17,18.49,5.25,8.17,4.9,7.96,2.08,72.58,7.49,122.98
5.08,3.85,6.84,1.24,3.35,5.11,8.97,1.45,0.51,74.8,8.95,85.99
1.25,3.52,1.55,10.05,5.67,8.22,3.32,3.56,5.29,101.25,2.29,125.61
1.99,1.14,1.31,18.98,6.06,3.74,7.78,8.92,7.71,68.97,1.99,134.83
45.78,0.37,9.89,4.27,8.52,2.34,8.28,7.02,2.39,81.81,7.47,143.67
26.2,2.14,8.57,0.22,7.58,7.18,5.34,1.32,6.94,110.12,1.72,158.52
47.77,2.57,9.68,9.1,9.45,2.96,1.59,3.34,6.63,52.13,9.06,144.47
33.02,3.67,2.27,14.11,1.12,8.27,2.91,9.15,6.41,10.6,7.98,107.82
31.11,2.25,2.95,10.73,8.41,1.89,5.06,5.86,5.03,142.75,0.93,180.64
28.3,1.9,5.17,6.42,4.52,4.81,9.03,3.6,3.4,148.07,5.55,172.42
20.21,0.85,5.71,13.94,2.38,8.76,7.73,7.46,9.83,63.96,3.39,120.76
32.83,3.1,6.05,16.37,6.53,9.47,9.18,0.26,9.05,166.07,4.4,213.36
13.24,4.18,1.18,10.44,6.43,4.57,7.63,5.82,7.54,12.94,4.42,73.36
34.74,4.34,9.36,14.04,3.38,1.98,9.4,9.63,9.99,8.56,7.79,108.99
9.92,4.83,7.55,11.91,3.71,1.11,0.64,6,8.12,138.98,1.93,157.05
49.61,1.36,0.39,7.71,9.41,7.63,1.61,6.19,8.57,119.23,4.74,176.05
22.48,1.51,1.78,11.16,1.64,3.03,0.35,3.71,2.07,57.8,2.63,75.62
20.4,4.95,1.39,2.07,9.08,4.97,5.44,4.84,3.89,83.05,2.07,118.47
15.9,1.14,4.67,4.69,4.17,5.26,4.02,2.8,2.26,143.68,8.42,148.61
17.78,0.05,7.87,19.64,7.57,5.03,4.14,7.44,5.13,37.91,3.55,107.98
0.01,3.29,1.71,6.33,8.29,8.83,4.99,3.7,6.55,21.83,5.94,74.77
27.99,1.95,3.15,13.18,7.23,0.99,0.16,0.77,4.1,145.92,5.15,171.38
12,3.75,3.16,12.17,4.92,8.03,3.47,7.54,1.81,117.64,6.62,146.57
17.61,1.73,8.58,16.86,9.48,3.84,9.19,0.7,1.57,114.75,9.1,161.32
30.64,3.63,0.99,17.59,0.32,3.45,4.09,7.87,5.18,28.87,0.95,116.61
12.84,3.57,8.32,15.31,3.67,3.85,1.46,8.88,2.78,178.76,8.24,194.36
19.36,2.68,8.87,14.84,2.36,4.41,9.92,2.36,0.4,2.64,7.9,86.96
44.08,3.84,0.49,16.65,0.37,8.6,4.04,2.1,3.11,136.33,2.39,154.52
29.34,4.66,8.61,16.65,6.86,6.34,6.72,9.28,7.01,99.51,7.32,176.81
42.65,3.24,8.96,5.21,3.9,9.47,9.78,0.01,8.18,92.49,5.88,159.42
2.69,4.63,6.64,19.63,5.86,8.86,5.72,1.26,2.64,100.46,2.18,119.03
41.72,4.42,8.15,19.57,6.66,0.74,9.2,1.79,4.62,39.36,1.49,131.31
48.58,0.58,6.54,8.48,1.46,2.33,5.58,7.58,3.2,185.19,5.89,194.99
37.84,2.02,4.92,8.59,7.13,1.56,8.76,4.94,0.14,175.26,5.93,184.22
42.14,0.77,1.39,3.88,4.65,9.02,8.25,2.38,2.91,89.74,6.9,139.92
45.33,3.14,2.23,18.07,1.71,6.68,1.45,3.11,0.59,34.73,2.53,112.78
10.42,1.91,8.31,11.04,9.89,1.15,7.87,3.28,4.49,55.69,8.44,109.58
7.14,4.71,3.98,10.61,9.55,6.53,1.77,4.26,4.47,163.66,2.45,146.7
45.23,0.49,5.29,13.44,0.8,0.83,1.44,2.92,4.51,182.67,7.99,183.35
4.26,0.62,7.1,1.92,0.46,1.42,7.68,3.62,1.93,58.19,8.7,81.19
47.63,4.32,0.91,3.43,5.2,2.73,3.82,4.61,8.13,189.66,2.14,230.99
39.75,2.11,4.63,17.04,5.14,8.43,3.95,3.43,6.38,79.35,4.11,151.92
30.41,1.94,1.26,16.02,0.05,7.84,2.24,0.39,5.81,127.68,1.92,145.94
1.2,3.72,0.58,13.17,0.78,4.23,7.1,7.74,8.22,199.32,2.99,188.58
48.48,1.26,3.65,13.83,0.57,5.22,9.88,1.14,6.2,197.6,6.5,214.78
22.76,4.53,6.01,11.04,6.84,5.12,5.8,9.18,0.92,55.11,9.95,132.62
41.47,1.04,0.13,10.98,7,1,5.92,6.58,3.31,110.6,9.61,132.11
17.16,2.63,4.28,10.47,0.67,6.78,1.73,0.6,0.1,37.77,2.52,83.7
13.25,4.98,4.9,4.18,9.68,0.64,8.06,7.22,5.83,198.02,2.36,207.77
46.36,4.42,0.86,1.07,8.36,2.5,9.82,9.07,4.29,120.88,7.88,179.73
6.62,2.06,7.83,2.85,6.17,7.88,3.78,5.94,5.32,79.41,4.51,118.17
23.96,0.83,4.43,3.94,7.63,5.39,3.23,3.97,3.44,170.33,5.04,165.27
39.95,3.87,3.81,7.14,8.82,8.5,5.22,5.76,5.6,176.06,8.22,214.32
9.55,4.07,1.37,17.08,7.06,5.41,5.83,9.44,6.23,81.46,9.14,126.08
24.4,2.09,7.9,10.22,7.43,0.68,7.52,6,2.24,57.09,7.79,101.34
32.8,2.27,4.56,4.44,1.7,0.24,0.64,4.68,7.73,14.55,2.41,80.28
32.4,0.97,6.07,9.2,8.33,3.35,8.23,3.03,7.69,40.27,0.31,111.7
48.73,4.7,4.16,7.46,6.17,9.98,5.26,1.31,7.57,74.01,4.02,138.58
44.1,4.87,1.31,13.17,5.74,0.4,7.43,9.03,5.27,79.39,4.61,159.98
33.01,2.85,9.59,18.99,2.11,0.22,7.86,5.82,7.81,141.06,4.7,186.35
17.46,2.24,6.5,5.64,9.35,7.36,7.06,2.22,0.84,85.36,8.41,123.89
22.58,0.07,9.05,4.94,7.53,7.95,2.87,5.6,4.58,6.8,4.46,55.68
10.99,1.16,0.68,8.17,4.73,4.99,0.78,4.01,3.22,67.33,2.06,92.97
3.82,0.41,7.67,10.45,9.54,3.63,0.78,3.08,3.97,138.47,5.61,135.62
28.34,0.14,5.58,1.58,3.35,4.17,4.03,4.3,5.22,119.88,5.23,130.03
29.92,2.1,7.94,9.42,1.29,9.8,2.72,8.2,3.76,55.4,6.63,117.89
46.03,1.07,9.67,2.04,6.44,1.36,5.21,9.42,0.27,106.32,5.52,141.18
17.3,2.97,0.46,16.81,1.56,4.75,1.2,7.91,8.35,121.58,1.7,160.07
40.65,1.92,1.48,18.75,9.56,3.66,2.64,2.76,8.6,34.81,3,122.54
43.94,4.03,5.76,19.4,7.43,4.5,0.78,7.31,2.9,49.24,2.97,130.73
34.42,1.87,7.26,11.9,4.37,8.32,0.64,6.81,5.69,56.83,5.86,124.27
31.8,0.77,8.13,13.48,2.43,7.17,5.25,4.25,6.26,147.54,6.35,182.48
20.22,0.93,2.88,3.73,0.22,0.6,9.1,0.08,9.9,48.47,0.41,75.31
19.94,2.13,8.82,11.92,4.34,0.56,2.71,1.46,1.83,44.54,1.68,87.14
6.41,4.08,3.88,2.23,4.79,5.88,3.5,1.54,0.23,130.37,9.74,134.62
11.66,4.9,4.31,16.17,5.38,4.05,0.19,2.86,7.17,63.58,9.68,108.9
32.09,4.97,2.55,12.71,4.17,9.55,2.79,0.8,5,25.14,5.77,96.49
32.65,4.23,7.64,6.58,5.62,7.58,2.87,0.67,0.73,82.06,5.11,113.56
14.52,4.32,2.4,16.96,3.27,6.26,4.47,8.33,2.49,17.02,9.68,83.84
21.53,0.36,8.19,4.66,0.15,4.68,0.79,0.92,8.55,77.84,9.22,125.47
20.77,2.92,5.96,5.15,0.31,6.41,1.2,9.92,3.06,127.16,9.8,159.78
33.09,0.78,5.08,7.81,6.47,3.72,1.44,8.73,1.34,63.52,1.83,119.59
26.45,3.44,0.85,13,6.34,1.6,3.02,6.05,1.57,87.5,0.81,123.78
11.74,1.79,0.43,5.83,9.43,2.49,8.21,1.14,5.14,99.88,6.5,120.13
41.21,3.45,5.46,13.44,2.38,1.2,6.5,0.77,2.89,183.67,5.49,211.48
23.89,0.28,7.16,16.21,4.03,8.68,4.11,5.84,9.89,104.37,3.2,164.69
11.88,1.59,0.87,18.87,5.9,5.24,8.02,3.4,5.46,166.02,1.96,180.13
6.88,1.53,3.04,15.66,5.91,6.96,6.6,3.03,1.97,174.59,4.19,173.9
18.42,1.28,0.14,14.13,3.19,5.69,0.01,9.03,1.08,160.67,9.15,175.07
14.38,1.62,2.7,9.34,9.48,0.2,9.58,3.28,7.85,65.51,1.58,116.25
23.22,4.56,0.92,1.64,8.6,6.41,6.57,4.7,9.72,107.92,8.41,148.47
14.09,4.87,7.82,19.43,7.95,6.29,6.12,2.2,8.79,79.3,6.41,151.36
47.81,0.9,6.95,13.66,5.59,6.83,0.52,2.69,6.83,33.68,9.97,110.22
3.69,1.14,1.94,16.16,0.87,5.74,6.5,8.52,7.03,184.04,3.93,183.2
2.8,2.9,4.45,1.46,6.22,0.69,5.04,8.3,8.33,62.11,7.37,79.29
46.28,3.53,0.38,10.23,2.9,4.56,7.27,6.99,9.29,68.91,3.44,153.19
14.12,0.32,5.07,1.71,1.74,0.69,8.58,3.31,3.73,60.27,7.09,107.72
7.61,2.2,8.47,3.97,6.22,1.96,4.9,7.75,5.46,141.95,5.4,168.37
14.29,3.65,3.57,7.76,4.83,0.39,4.11,3.7,2.97,163.12,6.66,165.46
34.38,2.13,9.16,5.85,0.15,1.6,0.16,5.75,5.02,54.17,7.39,88.39
47.77,1.3,4.4,10.32,6.34,9.07,7.37,7.08,3.89,91.23,8.44,157.36
49.52,1.95,1.75,11.79,6.53,2.45,4.63,3.06,1.5,47.19,1.12,107.61
25.37,1.76,5.44,16.29,5.6,5.4,5.42,4.76,3.25,174.6,8.36,192.75
49.64,3.27,4.32,9.85,1.37,7.97,3.67,5.89,9.09,43.76,5.88,142.16
10.74,3.15,7.73,0.8,2.25,5.59,4.35,5.05,7.42,168.41,2.22,158.36
40.2,3.47,3.56,17.51,0.05,4.04,1.73,4.78,2.84,44.07,9.04,110.26
34.82,3.41,0.26,15.18,6.9,5.25,9.89,6.29,5.95,48.22,7.85,123.38
1.13,4.09,5.89,14.72,3.9,9.95,8.72,1.28,5.32,49.46,0.46,106.84
16.19,1.64,8.91,10.24,3.56,0.37,5.22,7.07,9.03,30.06,1.21,80.51
48.23,4.55,7.5,15.58,0.23,5.22,2.92,4.15,1.8,111.59,8.97,170.87
49.65,4.16,5.44,19.92,0.07,6.55,4.78,5.08,0.92,96.35,2.8,161.41
11.62,2.91,4,5.49,8.1,5.18,5.4,2.75,3.47,101.51,7.91,123.21
19.01,4.89,6.98,6.21,5.91,3.59,9.3,8.46,4.13,31.11,6.82,100.55
49.7,1.64,1.28,17.93,8.69,1.89,3.87,3.08,8.85,189.59,9.69,246.8
3.12,1.1,3.2,7.32,2.36,5.99,9.46,0.53,8.48,13.67,2.63,64.72
20.95,3.33,8.85,7.96,3.38,1.65,1.93,2.87,1.44,19.21,2.1,77.2
3.6,2.05,6.57,11.52,4.7,3.01,7.92,0.5,3.23,67.68,0.93,100.31
15.23,2.99,3.82,17.81,5.9,0.33,1.76,9.34,1.09,22.6,2.02,86.47
20.41,0.1,9.21,1.23,4.3,6.85,8.05,3.3,6.09,163.63,6.09,163.11
8.28,0.65,2.85,18.25,1.7,8.15,0.78,9.82,6.54,82.65,9.68,127.86
27.74,1.87,2.94,12.26,1.32,4.1,8.23,0.26,2.6,163.93,4.16,170.9
44.86,2.09,3.98,11.49,2.15,3.06,7.88,5.87,8.36,35.83,2.55,97.42
19.93,2.37,8.17,3.6,6.92,3.58,4.56,6.91,8.48,150.09,2.72,179.47
24.71,2.14,2.13,3.17,8.11,0.59,0.74,0.91,7.11,73.84,6.51,116.08
28.82,2.73,4.4,3.76,9.43,6.42,1.9,8.19,8.86,46.01,0.36,93.6
13.76,0.43,5.96,19.25,5.08,7.19,4.65,4.93,8.32,149.52,9.89,170.48
